cartodb_id,the_geom,the_geom_webmercator,lat,lon,iso,gadm2,date
3147167,0101000020E610000005915E37194F26C00000000000702240,0101000020110F000072E8811070F232C185D16A8436742F41,9.21875,-11.15448926,SLE,173385,2008-09-29
3147168,0101000020E610000019BC5C825B8426C003910BEFEE3E2140,0101000020110F0000F8A77BACAB1F33C156EB23D8AD672D41,8.62291667,-11.25851066,SLE,173427,2008-10-15
3147171,0101000020E6100000B4068C81B7A625C064D55A7777E72140,0101000020110F00003E98085F6E6332C12EB6D1BD59892E41,8.95208333,-10.82561879,SLE,173390,2008-10-31
3147172,0101000020E6100000B67FE16CA53926C00000000000302240,0101000020110F00007EB27AE237E032C15169957419062F41,9.09375,-11.11259022,SLE,173390,2008-10-31
3147173,0101000020E6100000A7A34E06685726C069F7715555652240,0101000020110F00006E370D5D7EF932C147ABCDA6DB612F41,9.19791667,-11.17071552,SLE,173385,2008-10-31
3147174,0101000020E610000060C01E55453326C09C2AA58888782240,0101000020110F000076216CBFCDDA32C1FD638FCFE5822F41,9.23541667,-11.10013834,SLE,173385,2008-10-31
3147176,0101000020E61000009639236B89CA26C0CDCCCCCCCC1C2140,0101000020110F0000C3ED4B20465B33C15CC2C6DF0A2D2D41,8.55625,-11.39557967,SLE,173410,2008-12-02
3147177,0101000020E6100000555E5DDBFC5526C0CDCCCCCCCC7C2240,0101000020110F00009B0CCDEC49F832C1A74BE8853D8A2F41,9.24375,-11.16794477,SLE,173385,2008-12-02
3147178,0101000020E61000005344021D184026C069F7715555C52040,0101000020110F0000AE8184D0B1E532C109767C35D5962C41,8.38541667,-11.12518397,SLE,173441,2008-12-18
3147179,0101000020E6100000B2F5CAC4C62728C09C2AA58888582140,0101000020110F0000D307421EE28334C10671FBCEA9932D41,8.67291667,-12.07768836,SLE,173415,2008-12-18
3147181,0101000020E61000008A519D2F725A26C0FD6EF41011812240,0101000020110F0000A536944113FC32C1F435A54795912F41,9.25208333,-11.17665242,SLE,173385,2009-01-01
3147182,0101000020E6100000989C7F6033D126C03333333333232140,0101000020110F0000E56848FFEE6033C117EFE73A09382D41,8.56875,-11.4085951,SLE,173410,2009-02-18
3147183,0101000020E61000001FB7E376FDEC26C097088EAAAA1A2140,0101000020110F00005E7071FE887833C1F0FA76C660292D41,8.55208333,-11.46287128,SLE,173410,2009-03-22
3147184,0101000020E6100000389876FF92D926C097088EAAAA1A2140,0101000020110F00007B0E3D930B6833C1F0FA76C660292D41,8.55208333,-11.42494963,SLE,173410,2009-03-22
3147186,0101000020E6100000A8BA895229772AC002910BEFEEDE2040,0101000020110F000046F96A8F257A36C102DEED2CCAC22C41,8.43541667,-13.23273714,SLE,173439,2009-04-07
3147187,0101000020E61000005DCD53809CE826C09C2AA58888182140,0101000020110F000025D5A6F5D07433C1C1145BB0B6252D41,8.54791667,-11.45431901,SLE,173410,2009-04-07
3147188,0101000020E6100000148F51BF878427C0D05DD8BBBB2B2140,0101000020110F000015F397FD3CF933C125F273D9B1462D41,8.58541667,-11.75884817,SLE,173417,2009-04-07
3147189,0101000020E6100000527C007B1A8426C06666666666362140,0101000020110F000073E9DF71741F33C15C7A8BDA04592D41,8.60625,-11.25801453,SLE,173427,2009-04-07
3147191,0101000020E610000099635849544B26C0CDCCCCCCCC3C2240,0101000020110F0000FFED9F8C3CEF32C117EFD4791E1C2F41,9.11875,-11.14712743,SLE,173385,2009-04-07
3147192,0101000020E61000003B065C3E2F4626C063D55A7777672240,0101000020110F000032B3FEFBDDEA32C1FE60B56687652F41,9.20208333,-11.13707919,SLE,173385,2009-04-07
3147193,0101000020E6100000E7B8C7906B5826C068F7715555852240,0101000020110F00000931AACA5AFA32C133B75C15ED982F41,9.26041667,-11.17269566,SLE,173385,2009-04-07
3147194,0101000020E610000018B8D13A890226C0CA3BC1DDDD4D2040,0101000020110F00001D322ECA69B132C16F078B5BC6C92B41,8.15208333,-11.00495323,SLE,173447,2009-04-23
3147196,0101000020E610000068E8D98BECA325C036C43E2222D22140,0101000020110F000069FDDA270F6132C139941A43AB642E41,8.91041667,-10.82016408,SLE,173408,2009-04-23
3147197,0101000020E6100000AC0E2D70810329C0D05DD8BBBB0B2240,0101000020110F000058E056D47F3E35C1B4483F08B8C72E41,9.02291667,-12.50684691,SLE,173399,2009-04-23
3147198,0101000020E6100000345A1665999829C068F7715555852240,0101000020110F0000204316E31FBD35C133B75C15ED982F41,9.26041667,-12.79804531,SLE,173382,2009-04-23
3147199,0101000020E6100000EF9FFA49AD9829C064D55A7777872240,0101000020110F0000D3417BC830BD35C13506ECFF989C2F41,9.26458333,-12.79819709,SLE,173382,2009-04-23
3147201,0101000020E61000006F5A5B3EB33C26C068F7715555E52040,0101000020110F0000974E18E2CFE232C126D6F4A4C7CD2C41,8.44791667,-11.11855502,SLE,173421,2009-05-09
3147202,0101000020E61000005E3C514CBD8426C0D05DD8BBBB4B2140,0101000020110F00001836D4B9FE1F33C1A6EFBCA3AB7D2D41,8.64791667,-11.25925673,SLE,173427,2009-05-09
3147203,0101000020E61000008F27F68E224429C09A99999999892140,0101000020110F0000C7E1F39A637535C1D317759AFBE72D41,8.76875,-12.63307616,SLE,173413,2009-05-09
3147204,0101000020E610000009624D23354429C0D05DD8BBBB8B2140,0101000020110F00002DAC8362737535C119DE2A3EA6EB2D41,8.77291667,-12.63321791,SLE,173413,2009-05-09
3147206,0101000020E6100000104D6E4E045326C03333333333632240,0101000020110F00009B953CFDC3F532C16D6127E92F5E2F41,9.19375,-11.16214223,SLE,173385,2009-05-09
3147207,0101000020E61000002A5D34432E4B26C0CDCCCCCCCC7C2240,0101000020110F0000B07B6A411CEF32C1A74BE8853D8A2F41,9.24375,-11.14683733,SLE,173385,2009-05-09
